Emissions (kg),Costs
8424730.612638583,[55847551.73040267]
49886.38006524543,[1.17738447e+08]
887370.8033225794,[63700139.26313863]
1724855.2265799146,[60040276.52827606]
2562339.649837246,[58546400.80987705]
3399824.0730945785,[57562332.03300805]
4237308.49635191,[56914825.67626266]
5074792.919609245,[56487522.00044799]
5912277.342866585,[56199960.52134612]
6749761.766123923,[56017548.55044901]
7587246.189381257,[55890458.6570394]
