Jobs,Costs
[5181.75931163],[55122569.41210192]
[26346.07809422],[2.11422333e+08]
[7298.19118989],[63536359.1526053]
[9414.62306815],[77934380.52548222]
[11531.0549464],[93142905.26215914]
[13647.48682466],[1.08575875e+08]
[15763.91870292],[1.24059354e+08]
[17880.35058118],[1.39551545e+08]
[19996.78245944],[1.55048287e+08]
[22113.2143377],[1.70547722e+08]
[24229.64621596],[1.86047474e+08]
