Emissions (kg),Costs
9665390.151438508,[55122569.41210192]
78387.31432638918,[1.15265603e+08]
174257.3426975103,[77551515.14249422]
270127.37106863194,[74571599.96143769]
365997.3994397531,[72462250.27673265]
461867.42781087395,[70829695.33638881]
557737.456181996,[69290800.63127124]
653607.484553116,[67819392.58700633]
749477.5129242379,[66665398.89519784]
845347.541295359,[65881233.98763748]
941217.569666481,[65175147.34215639]
