"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"7/4/2023 8 a.m. EDT",421131.91,429868.23,417638.91,-346
US48,"7/4/2023 9 a.m. EDT",438063.93,450258.76,434545.93,-479
US48,"7/4/2023 10 a.m. EDT",466648.84,478741.33,464027.84,-727
US48,"7/4/2023 11 a.m. EDT",501343.07,513454.78,499816.07,-395
US48,"7/4/2023 12 p.m. EDT",536463.46,547158.55,536392.46,207
US48,"7/4/2023 1 p.m. EDT",568792.08,576645.23,567437.08,597
US48,"7/4/2023 2 p.m. EDT",591820.25,600289.21,591022.25,783
US48,"7/4/2023 3 p.m. EDT",608186.87,618865.31,607692.87,697
US48,"7/4/2023 4 p.m. EDT",619632.2,632666.82,619667.2,697
US48,"7/4/2023 5 p.m. EDT",629384.26,642870.66,630112.26,431
US48,"7/4/2023 6 p.m. EDT",634710.82,647006.51,635869.82,531
US48,"7/4/2023 7 p.m. EDT",633418.22,643642.51,635306.22,1418
US48,"7/4/2023 8 p.m. EDT",622926.84,631599.68,624442.84,1325
US48,"7/4/2023 9 p.m. EDT",605925.31,614913.55,607352.31,835
US48,"7/4/2023 10 p.m. EDT",584418.04,591534.78,584755.04,996
US48,"7/4/2023 11 p.m. EDT",563387.3,563415.51,562070.3,1161
US48,"7/5/2023 12 a.m. EDT",538629.24,532971.79,538045.24,2643
US48,"7/5/2023 1 a.m. EDT",508057.73,502309.11,506607.73,2386
US48,"7/5/2023 2 a.m. EDT",480439.95,470449.19,478019.95,1485
US48,"7/5/2023 3 a.m. EDT",458078.18,448729.87,455686.18,1846
US48,"7/5/2023 4 a.m. EDT",441628.91,431455.66,438395.91,926
US48,"7/5/2023 5 a.m. EDT",431856.57,424644.52,428926.57,876
US48,"7/5/2023 6 a.m. EDT",433104.17,427063.66,430711.17,541
US48,"7/5/2023 7 a.m. EDT",442743.2,437779,440835.2,839
US48,"7/5/2023 8 a.m. EDT",460175.49,457379.5,458310.49,32
US48,"7/5/2023 9 a.m. EDT",486902.26,483854.1,485449.26,279
US48,"7/5/2023 10 a.m. EDT",514804.21,514131.25,514305.21,719
US48,"7/5/2023 11 a.m. EDT",550148.62,548486.9,550625.62,497
US48,"7/5/2023 12 p.m. EDT",583674.28,581531.35,584356.28,794
US48,"7/5/2023 1 p.m. EDT",612521.23,610119.74,612169.23,726
US48,"7/5/2023 2 p.m. EDT",636141.82,632533.65,636900.82,1852
US48,"7/5/2023 3 p.m. EDT",652910.94,649859.16,653993.94,1928
US48,"7/5/2023 4 p.m. EDT",662596.19,662145.26,663984.19,1899
US48,"7/5/2023 5 p.m. EDT",669167.2,669483.57,670516.2,1430
US48,"7/5/2023 6 p.m. EDT",672702.36,670300.63,674671.36,1318
US48,"7/5/2023 7 p.m. EDT",670656.03,663626.02,673084.03,1608
US48,"7/5/2023 8 p.m. EDT",659779.6,650226.57,662014.6,1436
US48,"7/5/2023 9 p.m. EDT",641571.2,632665.44,643129.2,1546
US48,"7/5/2023 10 p.m. EDT",621449.59,608193.67,621727.59,1329
US48,"7/5/2023 11 p.m. EDT",592783.74,577786.9,590113.74,-152
US48,"7/6/2023 12 a.m. EDT",558417.75,540522.24,554149.75,-815
US48,"7/6/2023 1 a.m. EDT",523941.45,505364.36,520751.45,132
US48,"7/6/2023 2 a.m. EDT",496050.4,476320.21,491444.4,-200
US48,"7/6/2023 3 a.m. EDT",472326.08,450476.52,467981.08,184
US48,"7/6/2023 4 a.m. EDT",454384.72,438159.74,451312.72,577
US48,"7/6/2023 5 a.m. EDT",444375.69,431433.29,441142.69,129
US48,"7/6/2023 6 a.m. EDT",445699.24,434242.12,442167.25,-434
US48,"7/6/2023 7 a.m. EDT",452394.62,445389.79,449314.61,-377
US48,"7/6/2023 8 a.m. EDT",468646.56,464584.97,466076.56,-899
US48,"7/6/2023 9 a.m. EDT",489761.34,487948.66,487231.34,-1002
US48,"7/6/2023 10 a.m. EDT",516493.35,515587.12,514063.35,-1402
US48,"7/6/2023 11 a.m. EDT",546657.07,545414.64,545902.07,-432
US48,"7/6/2023 12 p.m. EDT",577214.66,574777.77,576368.66,-74
US48,"7/6/2023 1 p.m. EDT",603546.91,599760.21,602582.91,6
US48,"7/6/2023 2 p.m. EDT",624455.52,619278.53,623516.52,-290
US48,"7/6/2023 3 p.m. EDT",640153.23,634137.06,638005.23,-796
US48,"7/6/2023 4 p.m. EDT",649495.82,644321.13,648200.82,-573
US48,"7/6/2023 5 p.m. EDT",656957.31,648779.18,655182.31,-1169
US48,"7/6/2023 6 p.m. EDT",659865.72,648526.69,659062.72,-2979
US48,"7/6/2023 7 p.m. EDT",656406.8,640573.21,655814.8,-2692
US48,"7/6/2023 8 p.m. EDT",645236.29,627568.48,645001.29,-2984
US48,"7/6/2023 9 p.m. EDT",628347.79,611172.95,627121.79,-3774
US48,"7/6/2023 10 p.m. EDT",609622.25,590361.89,606513.25,-2366
US48,"7/6/2023 11 p.m. EDT",582602.1,561366.54,578803.1,-1286
US48,"7/7/2023 12 a.m. EDT",548922.93,526599.13,543925.93,-1693
US48,"7/7/2023 1 a.m. EDT",516065.53,495464.19,510404.03,-1554.5
US48,"7/7/2023 2 a.m. EDT",488282.81,470607.36,482600.81,-497
US48,"7/7/2023 3 a.m. EDT",464966.14,448578.69,458359.64,-821.5
US48,"7/7/2023 4 a.m. EDT",447671.48,433056.33,441512.48,-1088
US48,"7/7/2023 5 a.m. EDT",438685.13,427673.67,433046.13,-1236
US48,"7/7/2023 6 a.m. EDT",437910.04,430905.02,432851.04,-1160
US48,"7/7/2023 7 a.m. EDT",446088.99,441374.15,441369.99,-1460
US48,"7/7/2023 8 a.m. EDT",461237.24,459544.37,456356.24,-2250
US48,"7/7/2023 9 a.m. EDT",481129.07,480709.28,476972.07,-1879
US48,"7/7/2023 10 a.m. EDT",507226.42,506940.12,503794.42,-1761
US48,"7/7/2023 11 a.m. EDT",535904.45,536842.4,533140.46,-1829
US48,"7/7/2023 12 p.m. EDT",564729.85,565537.18,561896.85,-1466
US48,"7/7/2023 1 p.m. EDT",589529.12,590271.38,586075.12,-1358
