"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"2/4/2023 8 a.m. EST",523126.1197,522149.27,526180.1197,1824
US48,"2/4/2023 9 a.m. EST",531379.7621,528715.23,534186.7621,1145
US48,"2/4/2023 10 a.m. EST",527425.4827,524890.17,531099.4827,1575
US48,"2/4/2023 11 a.m. EST",515912.3402,513296.61,518601.3402,2050
US48,"2/4/2023 12 p.m. EST",500962.8275,497278.63,502974.8275,1230
US48,"2/4/2023 1 p.m. EST",485458.96,480969.18,486395.96,919
US48,"2/4/2023 2 p.m. EST",470344,466997.1,470465,450
US48,"2/4/2023 3 p.m. EST",459504.14,456995.54,458928.14,-180
US48,"2/4/2023 4 p.m. EST",453141.41,454435.68,453249.4,-703
US48,"2/4/2023 5 p.m. EST",454230.59,459622.46,453793.59,-494
US48,"2/4/2023 6 p.m. EST",463183.59,470627.94,463904.59,-221
US48,"2/4/2023 7 p.m. EST",478796.49,483664.52,479087.48,-403
US48,"2/4/2023 8 p.m. EST",488815.3,491701.4,488517.29,-628
US48,"2/4/2023 9 p.m. EST",489635.83,493161.63,489930.83,-295
US48,"2/4/2023 10 p.m. EST",485277.12,486739.39,484813.11,-578
US48,"2/4/2023 11 p.m. EST",474994,475209.71,473393,-1004
US48,"2/5/2023 12 a.m. EST",462781.09,461920.27,460576.09,-977
US48,"2/5/2023 1 a.m. EST",449517.82,448486.14,447391.81,-1113
US48,"2/5/2023 2 a.m. EST",438278.05,437484.31,435407.05,-1414
US48,"2/5/2023 3 a.m. EST",431729.6,429738.24,428016.59,-1669
US48,"2/5/2023 4 a.m. EST",427789.62,428540.65,425576.62,-963
US48,"2/5/2023 5 a.m. EST",426827.95,429540.83,424699.94,-883
US48,"2/5/2023 6 a.m. EST",429842.41,435381.94,427305.41,-1164
US48,"2/5/2023 7 a.m. EST",437118.24,444898.19,434776.24,-1385
US48,"2/5/2023 8 a.m. EST",448870.6,455710.5,446052.6,-1919
US48,"2/5/2023 9 a.m. EST",459244.12,463701.19,456891.12,-1981
US48,"2/5/2023 10 a.m. EST",460448.54,462895.1,458453.54,-1863
US48,"2/5/2023 11 a.m. EST",452109.68,455636.1,448505.67,-2637
US48,"2/5/2023 12 p.m. EST",442743.29,446221.84,439600.29,-2124
US48,"2/5/2023 1 p.m. EST",435457.68,436814.41,430922.68,-1978
US48,"2/5/2023 2 p.m. EST",429317.42,429348.69,424981.41,-1316
US48,"2/5/2023 3 p.m. EST",424214.55,424114.08,420381.54,-1061
US48,"2/5/2023 4 p.m. EST",422396.1,423234.32,418144.09,-752
US48,"2/5/2023 5 p.m. EST",424056.88,428333.63,420474.87,-446
US48,"2/5/2023 6 p.m. EST",433212.43,439277.01,430617.43,-189
US48,"2/5/2023 7 p.m. EST",448963.02,452354.79,447084.02,-519
US48,"2/5/2023 8 p.m. EST",459329.68,461527.61,457667.68,-264
US48,"2/5/2023 9 p.m. EST",460949.62,464158.03,459582.61,-163
US48,"2/5/2023 10 p.m. EST",455799.12,457481.3,453417.11,201
US48,"2/5/2023 11 p.m. EST",443572.47,445294.19,439138.47,-267
US48,"2/6/2023 12 a.m. EST",428409.3,429987.29,423806.3,-245
US48,"2/6/2023 1 a.m. EST",414210.34,415243.85,410263.34,12
US48,"2/6/2023 2 a.m. EST",404645.6,402922.8,401099.59,438
US48,"2/6/2023 3 a.m. EST",399557.32,398473.34,395575.32,248
US48,"2/6/2023 4 a.m. EST",399639.96,400947.08,396071.96,-453
US48,"2/6/2023 5 a.m. EST",404837.54,409918.98,401424.54,-523
US48,"2/6/2023 6 a.m. EST",419869.36,430635.18,416917.36,-942
US48,"2/6/2023 7 a.m. EST",450774.67,458331.23,447678.66,-1623
US48,"2/6/2023 8 a.m. EST",479374.22,481546.84,476632.22,-1605
US48,"2/6/2023 9 a.m. EST",488488.15,490519.74,486875.15,-980
US48,"2/6/2023 10 a.m. EST",483070.9,488287.06,482397.9,-1353
US48,"2/6/2023 11 a.m. EST",477188.21,481468.35,475942.21,-592
US48,"2/6/2023 12 p.m. EST",470288.02,471427.26,467100.03,-1255
US48,"2/6/2023 1 p.m. EST",463315.49,462003.38,459744.49,-1058
US48,"2/6/2023 2 p.m. EST",456657.34,454935.95,453922.34,-758
US48,"2/6/2023 3 p.m. EST",451714.12,450364.15,449379.12,-618
US48,"2/6/2023 4 p.m. EST",450242.86,450134.73,447277.86,-1003
US48,"2/6/2023 5 p.m. EST",451312.04,456141.83,447972.04,-1383
US48,"2/6/2023 6 p.m. EST",458870.49,465897.25,456891.49,-587
US48,"2/6/2023 7 p.m. EST",471811.92,476965.36,470299.92,-1066
US48,"2/6/2023 8 p.m. EST",481049.91,483997.05,478726.91,-1985
US48,"2/6/2023 9 p.m. EST",480570.39,483459.97,479187.39,-1936
